2025-11-06 21:48:56 [INFO] (camera_logger_20251106_214856): Camera session ready with label: ses_2025-11-06T21:48:56.061Z
2025-11-06 22:14:02 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762445642562', '0', '3', '0.2523198089689852', '0.05905888690790453', '-1.7569803607499654', '5.114913329733173', '62.53132868301321', '176.3233430779833']
2025-11-06 22:14:03 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762445642595', '1', '4', '-2.000483027210377', '1.5477877116295478', '-0.9886258259675806', '46.17340343529235', '97.59133868220971', '376.73232298227055']
2025-11-06 22:14:04 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762445642628', '2', '3', '2.0335818405737642', '-2.305320154140978', '-1.42888920774611', '-1.7593858859379807', '-33.22380915522698', '27.866495779690027']
2025-11-06 22:14:05 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762445642661', '3', '2', '2.0132953220102734', '-2.3222616550999056', '2.179383007131992', '-84.71354890522682', '-83.87756379715978', '22.504170006384882']
2025-11-06 22:14:06 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762445642694', '4', '4', '0.2689033521326744', '-0.9731297875795988', '2.1337614941619782', '-92.98222123735795', '-89.73724425871478', '240.1199228485092']
2025-11-06 22:14:07 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762445642727', '5', '2', '1.4874176580108656', '-1.7509309811569422', '0.20049731453337477', '-67.02374053331587', '66.8489410711929', '3.3042607684319325']
2025-11-06 22:14:08 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762445642760', '6', '2', '-2.2431156030065527', '-2.220980537656324', '-2.0158055629992435', '-36.173141668738815', '-91.44451209204895', '256.1039062330948']
2025-11-06 22:14:09 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762445642793', '7', '4', '-0.3976081827845468', '2.8697440415728153', '2.648134373022895', '-88.60814605001448', '-32.726166765889666', '280.9057007538199']
2025-11-06 22:14:10 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762445642826', '8', '5', '-1.9268259375236192', '2.4566452875969933', '1.4567920165146737', '22.35122046665183', '-19.985397588142906', '417.9210880472626']
2025-11-06 22:14:11 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762445642859', '9', '5', '0.6498742425037971', '-2.6118747887606406', '1.0899975700977904', '-49.31105436281804', '82.43576180297948', '198.65022246724374']
2025-11-06 22:21:28 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446089269', '0', '9', '0.9078390513923242', '-1.6732393019712393', '-2.7105959747805355', '67.11238234504661', '80.5993717947866', '335.45553113460807']
2025-11-06 22:21:29 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446089302', '1', '8', '-1.6914433753480511', '0.37547539704355926', '-1.517193809745778', '66.98513663818046', '-61.52399734824512', '448.9790710281834']
2025-11-06 22:21:31 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446089335', '2', '7', '-1.890568699541521', '1.3235001358938858', '-1.2144737376951462', '34.32167127992838', '42.840356972181624', '414.13394768015354']
2025-11-06 22:21:31 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446089368', '3', '7', '0.03101114987663117', '0.7584424424584937', '-0.3382475076425086', '27.616242403948178', '75.54047223423667', '349.9997625822219']
2025-11-06 22:21:32 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446089401', '4', '4', '1.0904287908507913', '2.951190482353144', '-3.0093340605161867', '40.977528509578185', '86.30881649767123', '159.9507621029539']
2025-11-06 22:21:33 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446089434', '5', '0', '-0.654169446085021', '3.090703283746862', '2.8643231856848717', '-76.22469769810871', '58.369503472103546', '463.09781157663144']
2025-11-06 22:21:34 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446089467', '6', '1', '0.2680182977316437', '2.716164431217536', '2.6015404282810524', '-38.712197978591576', '6.571287113498525', '56.89775809956543']
2025-11-06 22:21:35 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446089500', '7', '3', '0.38423487361232433', '0.6098567139086793', '1.487249505963129', '-55.848494315866205', '21.84410526692988', '177.6624195396409']
2025-11-06 22:21:37 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446089533', '8', '0', '-0.7672161474923366', '0.6101236745307598', '-2.610352025169434', '79.06448250012484', '73.19646944362432', '356.1213295685632']
2025-11-06 22:21:37 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446089566', '9', '7', '2.2462508525960927', '-2.964808396076729', '-2.0514437743076708', '-7.509946580620985', '19.2400320435401', '285.54024950591736']
2025-11-06 22:27:35 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446455321', '0', '6', '-0.13253785923358952', '-0.19776147291173965', '2.5891596484223114', '53.90946032076891', '-15.892468923003445', '115.82208329995758']
2025-11-06 22:27:36 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446455354', '1', '9', '-0.7436827458780552', '-2.4690541801672055', '1.4159310788147195', '88.0619132833848', '84.53960554258042', '437.8852609166292']
2025-11-06 22:27:37 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446455387', '2', '1', '2.7002079301716564', '2.2494343317813104', '1.6149436591578594', '-32.51102005791455', '-61.478227806255404', '230.54973449668626']
2025-11-06 22:27:38 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446455420', '3', '0', '-1.303808820383924', '-0.3238470730709217', '2.6433681249011114', '-15.864663198263806', '64.74589446133076', '284.4193060720643']
2025-11-06 22:27:39 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446455453', '4', '1', '-1.39169845662987', '-1.1312102839511902', '-0.7219392210752315', '-17.984544147818028', '-71.91779091609605', '169.2375499096423']
2025-11-06 22:27:40 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446455486', '5', '9', '-3.088848130641969', '1.3387169778831913', '2.9228285590318723', '-41.683134533982', '81.900714568395', '101.65459703027568']
2025-11-06 22:27:41 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446455519', '6', '6', '-0.70152449629724', '-0.933943838971936', '0.15106197271997115', '4.48367426951819', '67.45322615600304', '239.76701406272']
2025-11-06 22:27:42 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446455552', '7', '9', '0.5467614503458862', '-1.2332794373424363', '0.23150534874677461', '-29.05281610357644', '7.777716238018306', '459.0571225439679']
2025-11-06 22:27:43 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446455585', '8', '8', '2.6171064505107857', '-1.3983709510904054', '-1.5884140905418622', '99.04500120376285', '-92.3046168283795', '259.2080663271223']
2025-11-06 22:27:44 [INFO] (camera_logger_20251106_214856): Camera dummy_camera recieved msg: ['1762446455618', '9', '3', '3.1315806303276132', '2.480425215693103', '2.4775027546623485', '85.24386265958259', '32.15466665916751', '434.15769586558486']
