2025-11-07 13:52:19 [INFO] (camera_logger_20251107_135219): Camera session ready with label: ses_2025-11-07T13:52:20.087Z
2025-11-07 13:54:14 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['recorded_at', 'frame_idx', 'marker_id', 'rvec_x', 'rvec_y', 'rvec_z', 'tvec_x', 'tvec_y', 'tvec_z', 'image_path']
2025-11-07 13:54:14 [ERROR] (camera_logger_20251107_135219): IMU failed to recieve with error: could not convert string to float: 'recorded_at'
2025-11-07 13:54:14 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523648.535536', '1', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000001.jpg']
2025-11-07 13:54:15 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523648.622335', '2', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000002.jpg']
2025-11-07 13:54:15 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523648.708269', '3', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000003.jpg']
2025-11-07 13:54:15 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523648.794385', '4', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000004.jpg']
2025-11-07 13:54:15 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523648.881029', '5', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000005.jpg']
2025-11-07 13:54:15 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523648.967402', '6', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000006.jpg']
2025-11-07 13:54:15 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523649.053913', '7', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000007.jpg']
2025-11-07 13:54:16 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523649.140112', '8', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000008.jpg']
2025-11-07 13:54:16 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523649.226433', '9', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000009.jpg']
2025-11-07 13:54:16 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523649.312522', '10', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000010.jpg']
2025-11-07 13:54:16 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523649.398510', '11', '2', '-3.126422920913221', '-0.02001443771636532', '-0.2984386518057371', '0.07832814061203301', '0.0812212930327552', '1.1443875295902324', 'data/sessions/aruco_session_20251107_075407/frames/f000011.jpg']
2025-11-07 13:54:16 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523649.482215', '12', '2', '3.0723227024995654', '0.04798171099288576', '-0.1132469863532297', '0.08508248142973315', '0.08828253195944986', '1.2435938769364114', 'data/sessions/aruco_session_20251107_075407/frames/f000012.jpg']
2025-11-07 13:54:16 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523649.565436', '13', '2', '2.9919181521649176', '-0.03406568802698996', '-0.5630344423727788', '0.0807745607991644', '0.08411429655553537', '1.1885307476566023', 'data/sessions/aruco_session_20251107_075407/frames/f000013.jpg']
2025-11-07 13:54:16 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523649.649489', '14', '2', '3.0815175918184656', '-0.008307936336914302', '0.21622557174790372', '0.07935161705449975', '0.08207175378778733', '1.1595416357456065', 'data/sessions/aruco_session_20251107_075407/frames/f000014.jpg']
2025-11-07 13:54:17 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523649.748130', '15', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000015.jpg']
2025-11-07 13:54:17 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523649.856812', '16', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000016.jpg']
2025-11-07 13:54:17 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523649.952848', '17', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000017.jpg']
2025-11-07 13:54:17 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523650.038731', '18', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000018.jpg']
2025-11-07 13:54:17 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523650.124709', '19', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000019.jpg']
2025-11-07 13:54:18 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523650.210796', '20', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000020.jpg']
2025-11-07 13:54:18 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523650.296513', '21', '2', '-3.126422920913221', '-0.02001443771636532', '-0.2984386518057371', '0.07832814061203301', '0.0812212930327552', '1.1443875295902324', 'data/sessions/aruco_session_20251107_075407/frames/f000021.jpg']
2025-11-07 13:54:18 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523650.381935', '22', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000022.jpg']
2025-11-07 13:54:18 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523650.467611', '23', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000023.jpg']
2025-11-07 13:54:18 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523650.553516', '24', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000024.jpg']
2025-11-07 13:54:18 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523650.638967', '25', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000025.jpg']
2025-11-07 13:54:18 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523650.724823', '26', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000026.jpg']
2025-11-07 13:54:19 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523650.810774', '27', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000027.jpg']
2025-11-07 13:54:19 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523650.896998', '28', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075407/frames/f000028.jpg']
2025-11-07 13:54:19 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523650.983249', '29', '2', '-3.1614203229703723', '-0.008671077020779449', '-0.204153953506545', '0.07908152406238049', '0.08135903346725094', '1.14643083604114', 'data/sessions/aruco_session_20251107_075407/frames/f000029.jpg']
2025-11-07 13:54:19 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523651.069663', '30', '2', '-3.1780824035888697', '-0.00972524860581233', '-0.20630479015172282', '0.07951715770408257', '0.08137123054369466', '1.1466657576250177', 'data/sessions/aruco_session_20251107_075407/frames/f000030.jpg']
2025-11-07 13:54:19 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523651.156005', '31', '2', '-3.1780824035888697', '-0.00972524860581233', '-0.20630479015172282', '0.07951715770408257', '0.08137123054369466', '1.1466657576250177', 'data/sessions/aruco_session_20251107_075407/frames/f000031.jpg']
2025-11-07 13:54:20 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523651.242577', '32', '2', '-3.130958587855747', '0.020059455933085245', '0.30886949152964016', '0.07997508894304606', '0.08129451505213105', '1.1454462988588978', 'data/sessions/aruco_session_20251107_075407/frames/f000032.jpg']
2025-11-07 13:54:20 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523651.328764', '33', '2', '-3.1778600969981268', '-0.009709853354672154', '-0.20558321070125585', '0.08035492798865851', '0.0813702625941363', '1.1466540347343797', 'data/sessions/aruco_session_20251107_075407/frames/f000033.jpg']
2025-11-07 13:54:20 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523651.415201', '34', '2', '-3.1778600969981268', '-0.009709853354672154', '-0.20558321070125585', '0.08035492798865851', '0.0813702625941363', '1.1466540347343797', 'data/sessions/aruco_session_20251107_075407/frames/f000034.jpg']
2025-11-07 13:54:20 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523651.501969', '35', '2', '-3.1313231544754454', '0.0200794657560934', '0.31027433671484844', '0.08081513616627631', '0.08129663897286432', '1.1454811036418422', 'data/sessions/aruco_session_20251107_075407/frames/f000035.jpg']
2025-11-07 13:54:20 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523651.588145', '36', '2', '3.101717551011848', '-0.0013296306300052121', '-0.33878276771150145', '0.08193044874424843', '0.0819937688364287', '1.1583399034070803', 'data/sessions/aruco_session_20251107_075407/frames/f000036.jpg']
2025-11-07 13:54:20 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523651.674871', '37', '2', '3.101717551011848', '-0.0013296306300052121', '-0.33878276771150145', '0.08193044874424843', '0.0819937688364287', '1.1583399034070803', 'data/sessions/aruco_session_20251107_075407/frames/f000037.jpg']
