2025-11-07 13:57:20 [INFO] (camera_logger_20251107_135719): Camera session ready with label: ses_2025-11-07T13:56:15.815Z
2025-11-07 13:57:20 [INFO] (camera_logger_20251107_135719): Camera session ready with label: ses_2025-11-07T13:56:27.537Z
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['recorded_at', 'frame_idx', 'marker_id', 'rvec_x', 'rvec_y', 'rvec_z', 'tvec_x', 'tvec_y', 'tvec_z', 'image_path']
2025-11-07 13:57:35 [ERROR] (camera_logger_20251107_135719): IMU failed to recieve with error: could not convert string to float: 'recorded_at'
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523855.135448', '1', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000001.jpg']
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523855.223337', '2', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000002.jpg']
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523855.308949', '3', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000003.jpg']
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523855.394707', '4', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000004.jpg']
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523855.480699', '5', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000005.jpg']
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523855.566478', '6', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000006.jpg']
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523855.652181', '7', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000007.jpg']
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523855.738026', '8', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000008.jpg']
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523855.823651', '9', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000009.jpg']
