2025-11-07 13:52:19 [INFO] (imu_logger_20251107_135219): IMU session ready with label: ses_2025-11-07T13:52:20.087Z
2025-11-07 13:53:32 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523612987', '-0.03515625', '-0.00390625', '0.0', '0.0', '0.11190581936148891', '0.0', '17.5', '78.0625', '54.875', '178.22761394443202', '16.907527594416155', '-6.865138151608838']
2025-11-07 13:53:32 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523612993', '-0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.5', '78.0625', '54.875', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:32 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523612996', '-0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.5', '78.0625', '54.875', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:32 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523612997', '-0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.5', '78.0625', '54.875', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:32 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613012', '0.0234375', '0.02734375', '0.0078125', '0.0', '0.0', '0.0', '17.75', '78.9375', '57.3125', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:32 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613019', '-0.015625', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.75', '78.9375', '57.3125', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:32 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613030', '-0.015625', '0.02734375', '-0.03125', '0.0', '0.0', '0.0', '16.6875', '77.3125', '57.25', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:32 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613039', '-0.015625', '0.02734375', '-0.03125', '0.0', '0.0', '0.0', '16.6875', '77.3125', '57.25', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:32 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613053', '-0.015625', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '16.6875', '76.9375', '57.25', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:32 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613059', '0.0234375', '-0.01171875', '0.046875', '0.0', '0.0', '0.0', '16.6875', '76.9375', '57.25', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:32 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613070', '0.0234375', '-0.01171875', '0.046875', '0.0', '0.0', '0.0', '16.6875', '77.6875', '57.3125', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
