2025-11-07 13:57:20 [INFO] (imu_logger_20251107_135719): IMU session ready with label: ses_2025-11-07T13:56:15.815Z
2025-11-07 13:57:20 [INFO] (imu_logger_20251107_135719): IMU session ready with label: ses_2025-11-07T13:56:27.537Z
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860071', '0.0', '-0.00390625', '0.0', '0.0', '-0.22381163872297782', '0.0', '16.6875', '77.75', '59.25', '178.17702752664766', '17.350520550710183', '-6.876468845552907']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860075', '0.0', '-0.00390625', '0.0', '0.0', '-0.22381163872297782', '0.0', '16.6875', '77.75', '59.25', '178.17702752664766', '17.350520550710183', '-6.876468845552907']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860076', '0.0', '-0.00390625', '0.0', '0.0', '-0.22381163872297782', '0.0', '16.6875', '77.75', '59.25', '178.17702752664766', '17.350520550710183', '-6.876468845552907']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860088', '0.0078125', '-0.00390625', '0.015625', '0.11190581936148891', '0.33571745808446674', '-0.11190581936148891', '17.75', '77.375', '58.1875', '178.2457161642696', '2.2249734039775504', '-6.614160132673886']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860096', '0.0078125', '-0.00390625', '0.015625', '0.11190581936148891', '0.33571745808446674', '-0.11190581936148891', '17.4375', '78.5', '57.8125', '178.2459928454011', '2.2178785226716085', '-6.6210308056358445']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860106', '-0.03125', '-0.00390625', '-0.0234375', '0.22381163872297782', '-0.22381163872297782', '0.22381163872297782', '17.0625', '77.75', '57.4375', '178.2459928454011', '2.2178785226716085', '-6.6210308056358445']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860119', '0.0078125', '-0.00390625', '-0.0234375', '0.0', '-0.33571745808446674', '0.0', '16.6875', '77.75', '58.625', '178.24022583610372', '2.196532098390328', '-6.620814501329589']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860126', '0.0078125', '-0.00390625', '-0.0234375', '0.0', '-0.33571745808446674', '0.0', '17.375', '77.0', '57.375', '178.24022583610372', '2.196532098390328', '-6.620814501329589']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860137', '0.0078125', '-0.00390625', '-0.0234375', '0.11190581936148891', '-0.11190581936148891', '0.0', '17.75', '77.75', '57.8125', '178.24144409770753', '2.175591356013946', '-6.620469635879575']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860146', '0.0078125', '0.03515625', '0.015625', '0.11190581936148891', '-0.11190581936148891', '0.0', '17.0625', '77.375', '58.25', '178.24185015509275', '2.1686110730533525', '-6.620354780252565']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860156', '0.0078125', '-0.01171875', '0.015625', '0.0', '0.0', '0.0', '17.0625', '78.125', '57.8125', '178.2422561975852', '2.1616307724290285', '-6.620239974382251']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860166', '-0.03125', '0.02734375', '0.015625', '0.0', '0.22381163872297782', '0.11190581936148891', '17.0625', '78.5625', '59.0625', '178.2422561975852', '2.1616307724290285', '-6.620239974382251']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860179', '-0.03125', '-0.01171875', '0.015625', '0.11190581936148891', '0.11190581936148891', '-0.11190581936148891', '16.375', '78.5', '58.6875', '178.24306823792818', '2.147670118398407', '-6.6200105119002055']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860185', '0.0078125', '0.02734375', '-0.0234375', '0.11190581936148891', '0.11190581936148891', '-0.11190581936148891', '17.0625', '78.125', '57.8125', '178.24306823792818', '2.147670118398407', '-6.6200105119002055']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860198', '0.0078125', '-0.01171875', '0.015625', '-0.11190581936148891', '0.11190581936148891', '-0.11190581936148891', '17.0625', '77.75', '58.625', '178.24388021880964', '2.133709394340515', '-6.619781248410441']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860206', '0.0078125', '-0.01171875', '0.015625', '-0.11190581936148891', '0.11190581936148891', '-0.11190581936148891', '17.0625', '77.75', '58.625', '178.24388021880964', '2.133709394340515', '-6.619781248410441']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860218', '-0.03125', '-0.01171875', '-0.0234375', '0.22381163872297782', '-0.11190581936148891', '0.22381163872297782', '16.375', '77.6875', '57.0', '178.24469214030256', '2.1197486006737982', '-6.619552183889998']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860226', '0.0078125', '-0.01171875', '0.015625', '0.22381163872297782', '-0.11190581936148891', '0.22381163872297782', '17.4375', '77.375', '57.8125', '178.24469214030256', '2.1197486006737982', '-6.619552183889998']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860238', '0.0078125', '-0.01171875', '-0.0234375', '0.11190581936148891', '0.0', '0.0', '16.6875', '77.0', '59.4375', '178.23851884406503', '2.105382088575228', '-6.61944548732797']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860246', '-0.03125', '-0.01171875', '0.015625', '0.11190581936148891', '0.0', '0.0', '16.375', '78.875', '57.8125', '178.23892476698987', '2.0984016443388542', '-6.619330704767828']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860255', '0.0078125', '-0.01171875', '-0.0234375', '0.0', '0.33571745808446674', '0.0', '17.4375', '78.5', '57.4375', '178.23892476698987', '2.0984016443388542', '-6.619330704767828']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860268', '-0.03125', '0.02734375', '-0.0234375', '-0.11190581936148891', '-0.11190581936148891', '0.0', '17.5', '79.3125', '58.3125', '178.23973656829006', '2.0844407044875', '-6.619101288835963']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860276', '0.0078125', '-0.01171875', '0.015625', '-0.11190581936148891', '-0.11190581936148891', '0.0', '17.5', '79.3125', '58.3125', '178.23973656829006', '2.0844407044875', '-6.619101288835963']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860288', '0.0078125', '-0.01171875', '0.015625', '0.11190581936148891', '-0.33571745808446674', '0.0', '17.4375', '78.5', '57.8125', '178.24054831025185', '2.070479696480076', '-6.618872071802905']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860296', '0.0078125', '-0.01171875', '-0.0234375', '0.11190581936148891', '-0.33571745808446674', '0.0', '17.0625', '78.5', '58.25', '178.24054831025185', '2.070479696480076', '-6.618872071802905']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860308', '0.0078125', '-0.01171875', '-0.0234375', '0.0', '0.11190581936148891', '0.0', '17.0625', '78.9375', '59.5', '178.23449407796792', '2.056227851568939', '-6.611777138665481']
2025-11-07 13:57:40 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860316', '0.0078125', '-0.01171875', '0.015625', '0.0', '0.11190581936148891', '0.0', '17.0625', '78.125', '58.625', '178.23489948644766', '2.049247252308831', '-6.611662293491512']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860326', '0.0078125', '-0.01171875', '0.015625', '0.0', '0.22381163872297782', '0.0', '17.4375', '78.9375', '58.25', '178.2353048800894', '2.0422666362690194', '-6.611547497978926']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860336', '-0.03125', '-0.01171875', '0.015625', '0.0', '0.22381163872297782', '0.0', '16.375', '77.6875', '57.8125', '178.2353048800894', '2.0422666362690194', '-6.611547497978926']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860349', '-0.03125', '-0.01171875', '0.015625', '0.11190581936148891', '-0.22381163872297782', '0.22381163872297782', '16.375', '77.6875', '57.8125', '178.23623028686188', '2.028187993063389', '-6.6109127241651775']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860356', '0.0078125', '0.02734375', '-0.0234375', '0.11190581936148891', '-0.22381163872297782', '0.22381163872297782', '17.4375', '77.75', '58.625', '178.23663558639743', '2.021207750552906', '-6.6107980924242895']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860366', '0.0078125', '0.02734375', '0.015625', '0.0', '0.33571745808446674', '0.11190581936148891', '17.4375', '78.125', '57.0625', '178.23663558639743', '2.021207750552906', '-6.6107980924242895']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860378', '0.0078125', '-0.01171875', '0.015625', '-0.11190581936148891', '-0.11190581936148891', '-0.22381163872297782', '16.6875', '77.75', '58.25', '178.23704087113424', '2.0142274914750655', '-6.6106835103242565']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860386', '0.0078125', '-0.01171875', '0.015625', '-0.11190581936148891', '-0.11190581936148891', '-0.22381163872297782', '16.6875', '77.375', '59.4375', '178.23704087113424', '2.0142274914750655', '-6.6106835103242565']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860399', '0.0078125', '-0.01171875', '0.015625', '0.0', '0.0', '0.0', '17.4375', '78.5625', '59.0625', '178.23796713427038', '2.0003813054438213', '-6.603469914019598']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860406', '0.0078125', '-0.01171875', '0.015625', '0.0', '0.0', '0.0', '17.75', '77.8125', '59.0625', '178.23837195037194', '1.993400947888418', '-6.6033554940992']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860416', '0.0078125', '-0.01171875', '0.0546875', '0.0', '0.0', '0.0', '16.375', '78.125', '59.0625', '178.23877675171352', '1.9864205739756144', '-6.603241123756906']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860426', '0.0078125', '-0.01171875', '0.015625', '0.0', '0.0', '0.0', '16.0625', '78.875', '57.9375', '178.23918153830414', '1.9794401837577218', '-6.603126802989877']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860436', '0.0078125', '-0.01171875', '0.015625', '0.0', '0.0', '0.0', '16.375', '77.75', '58.625', '178.239586310153', '1.9724597772870525', '-6.603012531795279']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860446', '0.0078125', '-0.01171875', '0.015625', '0.0', '0.0', '0.0', '16.375', '77.75', '58.625', '178.239586310153', '1.9724597772870525', '-6.603012531795279']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860458', '0.0078125', '-0.01171875', '0.015625', '0.0', '0.0', '0.0', '17.0625', '77.3125', '57.0', '178.24039580966158', '1.9584989157966302', '-6.602784138112034']
